Name & Organization,Attachments,Document Title,Description,Technical Area,Indicator,Document Type,Author,Publication Date,WHO-Approved Doc: Check here if this document peer reviewed or from the WHO or CDC,Status,Relevant Pages,Lead Approval Req: Check here if this document requires approval from another lead agency,Thumbnail Image
Resolve to Save Lives ,WHO_HSE_GAR_DCE_2012_1_eng.pdf (https://dl.airtable.com/.attachments/d734983270d1be512c2dee7ce059b845/0cb33e40/WHO_HSE_GAR_DCE_2012_1_eng.pdf),Outbreak surveillance and response in humanitarian emergencies,"This document provides a standard framework and best practices for implementing an early warning and
response network and its operation in the field, following humanitarian emergencies",Surveillance,"""9.1 Disseminate case definitions and process of detection, assessment, and reporting of cases (user manual or guidelines) at national and intermediate levels.""",Guideline,World Health Organization,2012,,,"Section 5, Annex 3",checked,
Resolve to Save Lives ,WHO_HSE_GAR_DCE_2012_1_eng.pdf (https://dl.airtable.com/.attachments/5216892a9dc99419a57dd02d2f9c65c6/cc994567/WHO_HSE_GAR_DCE_2012_1_eng.pdf),Outbreak surveillance and response in humanitarian emergencies,"This document provides a standard framework and best practices for implementing an early warning and
response network and its operation in the field, following humanitarian emergencies.",Surveillance,"""9.1 Disseminate case definitions and process of detection, assessment, and reporting of cases (user manual or guidelines) at national and intermediate levels.""",Guideline,World Health Organization,2012,,,"Section 5, Annex 3",checked,
Resolve to Save Lives ,WHO_HSE_GAR_DCE_2012_1_eng.pdf (https://dl.airtable.com/.attachments/c5edd46e6a3eae8c695788c350c69029/04982bf0/WHO_HSE_GAR_DCE_2012_1_eng.pdf),Outbreak surveillance and response in humanitarian emergencies,"This document provides a standard framework and best practices for implementing an early warning and
response network and its operation in the field, following humanitarian emergencies",Surveillance,"""9.1 Train 70% of health workers (clinicians, laboratorians, surveillance officers) in detection, monitoring and evaluation of
events and cases, with clear guidance for follow-up disseminated at national and intermediate levels; document that health
workers have received training.""",Guideline,World Health Organization,2012,,,Sections 15-17,checked,
Resolve to Save Lives ,IDSR-Technical-Guidelines_Final_2010_0.pdf (https://dl.airtable.com/.attachments/f10262f74dd1473ad2ed5c989d022ba2/fa14540f/IDSR-Technical-Guidelines_Final_2010_0.pdf),"Technical Guidelines for Integrated Disease Surveillance and Response in the
African Region","These guidelines are intended to be used as (i) a general reference for surveillance activities, (ii) a resource for developing training, supervision and evaluation of surveillance activities, and (iii) a guide for
improving early detection and preparedness for outbreak response.",Surveillance,"""9.1 Disseminate case definitions and process of detection, assessment, and reporting of cases (user manual or guidelines) at national and intermediate levels.""",Guideline,WHO AFRO,2010,,,"Sections 1,2",checked,
Resolve to Save Lives ,IDSR-Technical-Guidelines_Final_2010_0.pdf (https://dl.airtable.com/.attachments/07365463b0eb6a49a0cb9b3b486f5919/7bb07eec/IDSR-Technical-Guidelines_Final_2010_0.pdf),"Technical Guidelines for Integrated Disease Surveillance and Response in the
African Region","These guidelines are intended to be used as (i) a general reference for surveillance activities, (ii) a resource for developing training, supervision and evaluation of surveillance activities, and (iii) a guide for
improving early detection and preparedness for outbreak response",Surveillance,9.3 Conduct training on data analysis at national and intermediate levels.,Guideline,WHO AFRO ,2010,,,Section #,checked,
Resolve to Save Lives ,IDSR-Technical-Guidelines_Final_2010_0.pdf (https://dl.airtable.com/.attachments/e7890685ee447b53e8e19a49368374f9/1379e54e/IDSR-Technical-Guidelines_Final_2010_0.pdf),"Technical Guidelines for Integrated Disease Surveillance and Response in the
African Region","These guidelines are intended to be used as (i) a general reference for surveillance activities, (ii) a resource for developing training, supervision and evaluation of surveillance activities, and (iii) a guide for
improving early detection and preparedness for outbreak response.",Surveillance,"""9.1 Establish a process to ensure that reported cases or events with outbreak potential are investigated and assessed for public
health response and linked to the laboratory results, and that data from the investigation are managed in a standardized
timeframe and manner.""",Guideline,World Health Organization,2010,,,Section 4,checked,
Resolve to Save Lives ,IDSR-Technical-Guidelines_Final_2010_0.pdf (https://dl.airtable.com/.attachments/2a6f42570346948807993f7a0ad5dbe7/8993932a/IDSR-Technical-Guidelines_Final_2010_0.pdf),"Technical Guidelines for Integrated Disease Surveillance and Response in the
African Region","These guidelines are intended to be used as (i) a general reference for surveillance activities, (ii) a resource for developing training, supervision and evaluation of surveillance activities, and (iii) a guide for
improving early detection and preparedness for outbreak response.",Surveillance,9.1 Establish a disease surveillance unit or department and finalize the operational plan and process.,Guideline,World Health Organization AFRO ,2010 ,,,"Sections 5,6",checked,
Resolve to Save Lives,IDSR-Technical-Guidelines_Final_2010_0.pdf (https://dl.airtable.com/.attachments/d933a2e192690764a00862003361b5e7/db7a3eaa/IDSR-Technical-Guidelines_Final_2010_0.pdf),"Technical Guidelines for Integrated Disease Surveillance and Response in the
African Region","These guidelines are intended to be used as (i) a general reference for surveillance activities, (ii) a resource for developing training, supervision and evaluation of surveillance activities, and (iii) a guide for
improving early detection and preparedness for outbreak response.",Surveillance,"""9.1 Establish a process of immediate and weekly reporting from every reporting unit, although reports may not be available for
every week.""",Guideline,WHO AFRO,2010 ,,,Section 7 ,checked,
Resolve to Save Lives ,IDSR-Technical-Guidelines_Final_2010_0.pdf (https://dl.airtable.com/.attachments/45db70bb3c9346605cf61c87064beccc/e6e2f08e/IDSR-Technical-Guidelines_Final_2010_0.pdf),"Technical Guidelines for Integrated Disease Surveillance and Response in the
African Region","These guidelines are intended to be used as (i) a general reference for surveillance activities, (ii) a resource for developing training, supervision and evaluation of surveillance activities, and (iii) a guide for
improving early detection and preparedness for outbreak response.",Surveillance,9.1 Develop and implement indicator based surveillance or event-based surveillance (refer to respective column for their benchmarks).,Guideline,World Health Organization,2010,,,Section 8,checked,
Michael Mahar US CDC,8.1.2.1 Nation Inventory of Dangerous Pathogens.pdf (https://dl.airtable.com/.attachments/b325d588688ddb74e680824e03b30f72/56880dd9/8.1.2.1NationInventoryofDangerousPathogens.pdf),Establishment of a National Inventory of Dangerous Pathogens in the Republic of Uganda,This article summarizes the process by which Uganda developed a national inventory of dangerous pathogen stocks.,Biosafety and Biosecurity,"""8.1 Identify and document human and animal health facilities that store/maintain dangerous pathogens and toxins in the
relevant sectors and health professionals responsible for them.""",Briefing Note,Mark W. J. van Passel,2019,checked,,170-172,checked,
Michael Mahar US Centers for Disease Control and Prevention,8_1_2_4 Development of a Biosecurity Checklist.pdf (https://dl.airtable.com/.attachments/ac5668fe40bc360de0a223aaa9aa076e/cd03d235/8_1_2_4DevelopmentofaBiosecurityChecklist.pdf),Development of a Biosecurity Checklist for Laboratory Assessment and Monitoring,"This peer-reviewed article contains a checklist for laboratories to use to assess the status of biosecurity. This biosecurity checklist is an information-gathering tool for external assessments and is aimed to assist organizations that handle valuable biological materials (VBMs), to assess the aspects of biosecurity and laboratory capacity.",Biosafety and Biosecurity,"""8.1 Conduct assessments of current biosafety and biosecurity practices, procedures and engineering controls at the national
level.""",Briefing Note,Diederik A. Bleijs,2019,checked,,85-86,checked,
Michael Mahar,8_1_2_1 Nation Inventory of Dangerous Pathogens.pdf (https://dl.airtable.com/.attachments/6e0584f19d00f0f4b55d0340d2d7edac/6bd84346/8_1_2_1NationInventoryofDangerousPathogens.pdf),Establishment of a National Inventory of Dangerous Pathogens in the Republic of Uganda,This article includes a description of how the Government of Uganda instituted a dangerous pathogen inventory. The methods section of the article summarizes the primary steps in the process.,Biosafety and Biosecurity,8.1 Develop and maintain inventories for dangerous pathogens.,Briefing Note,Mark Van Passel,2019,checked,,170-172,checked,
"Onyema Ajuebor, WHO",WHO-2019-nCoV-essential_health_services-2020.1-eng (003).pdf (https://dl.airtable.com/.attachments/f25dd4b1d57d547ac27e04bcc78be2ab/79440ab6/WHO-2019-nCoV-essential_health_services-2020.1-eng003.pdf),"COVID-19: Operational guidance for maintaining essential
health services during an outbreak. Interim guidance, 25 March 2020","This document expands on the content of the WHO Operational planning guidelines to support country preparedness and response for COVID-19. It provides guidance on a set of targeted immediate actions that countries should consider at national, regional, and local level to reorganize and maintain access to essential quality health services for all. It complements existing and forthcoming WHO guidance on the wider implications of COVID-19 for health systems and cross-government strategies for responding to the COVID-19 outbreak, including region-specific technical guidance being developed by WHO Regional Offices",Human Resources,"""10.1 Develop a mechanism for multisectoral action on health workforce issues to generate required support from all relevant
health sectors, ministries of finance, education and labour (or equivalent), collaborating partners and stakeholders."",""10.1 Adopt, review and revise strategy regularly, regarding sustainability of workforce, staffing and incentive models, staff
recruitment, development/training and retention mechanisms, planning and monitoring of human resources, and
implementation of a career ladder.""",Guideline,WHO,2020,checked,,"7,8,9",,
Michael Mahar US Centers for Disease Control and Prevention,9.1.3.5 Guide for the introduction of Integrated Disease Surveillance and Response.pdf (https://dl.airtable.com/.attachments/d5a1d160fca7f05a55ca5aeaafbe7cbc/d2b28c3c/9.1.3.5GuidefortheintroductionofIntegratedDiseaseSurveillanceandResponse.pdf),"GUIDE FOR THE INTRODUCTION OF INTEGRATED DISEASE SURVEILLANCE
AND RESPONSE IN THE CURRICULA OF HEALTH TRAINING INSTITUTIONS IN THE
WHO AFRICAN REGION",This guide provides an overview of the steps needed to routinely train staff on relevant surveillance protocols and links back to relevant training materials.,Surveillance,"""9.1 Conduct regular training for surveillance staff on SOPs, guidelines, procedures and best practices at national and
intermediate levels.""",Guideline,WHO,2015,checked,,10-12,,
Michael Mahar - US Centers for Disease Control and Prevention,9.3.2.3f_Risk_Assessment_Methodology_Guidance.pdf (https://dl.airtable.com/.attachments/f47153df9136cc0a5d56d21394bf68a5/9cc71d8c/9.3.2.3f_Risk_Assessment_Methodology_Guidance.pdf),Operational guidance on rapid risk assessment methodology,This guidance document develops a methodology for rapid risk assessments undertaken in the initial stages of an event or incident of potential public health concern. It describes an operational tool to facilitate rapid risk assessments for communicable disease incidents at both Member State and European level. The tool comprises information tables and risk-ranking algorithms to give an estimate of risk posed by a threat.,Surveillance,"""9.3 Develop and disseminate guidelines and procedures to assess the risk of unusual case reports and surveillance signals at
all levels.""",Guideline,European CDC,2011,,,5-20,,
"Britney McMurren, WHO",GLASS Implementaiton Manual-2016-eng.pdf (https://dl.airtable.com/.attachments/1d075f238cd05f9351463b5b10c97e06/7ac16832/GLASSImplementaitonManual-2016-eng.pdf),"National antimicrobial resistance surveillance systems and participation in the Global Antimicrobial Resistance Surveillance System (GLASS). A guide to planning, implementation, and monitoring and evaluation","Guide to planning, implementing, M&E for AMR surveillane",Antimicrobial Resistance,"""3.2 Designate a national coordinating centre to oversee the development and functioning of the national AMR surveillance
system."",""3.2 Designate a national reference laboratory to support AMR surveillance and develop SOPs for verification and additional
testing and identify an external quality assessment provider for the national reference laboratory."",3.2 Develop and initiate training programmes for data collection and reporting of AMR at national and regional levels.,3.2 Define national AMR surveillance objectives and develop a national AMR surveillance strategy.,""3.2 Develop a national surveillance protocol including: surveillance targets, laboratory standards, priority specimens, pathogens and drug�
bug combinations, defined datasets, metrics, data production, analysis and reporting, quality management, monitoring and evaluation)."",3.2 Designate functional AMR surveillance sites.",Guideline,WHO,2016,checked,,Full document,,
"Britney McMurren, WHO",GLASS manual for early implementation.pdf (https://dl.airtable.com/.attachments/9d1cff60eaa76ae4a4a5e5725bb5234e/fcb1ab62/GLASSmanualforearlyimplementation.pdf), Global Antimicrobial Resistance Surveillance System: Manual for early implementation.,Manual for early implementation of AMR surveillance systems,Antimicrobial Resistance,"""3.2 Define priority specimens, pathogens and drug�bug combinations for national reporting."",""3.2 Develop a national surveillance protocol including: surveillance targets, laboratory standards, priority specimens, pathogens and drug�
bug combinations, defined datasets, metrics, data production, analysis and reporting, quality management, monitoring and evaluation).""",Manual,WHO,2015,checked,,Whole document,,
"Britney McMurren, WHO",GLASS manual for early implementation.pdf (https://dl.airtable.com/.attachments/1b28addee47ba2d190b9f81813a1394f/d0fd4298/GLASSmanualforearlyimplementation.pdf), Global Antimicrobial Resistance Surveillance System: Manual for early implementation.,Duplicate,Antimicrobial Resistance,"""3.2 Collect population-based denominators, such as those recommended by WHO GLASS.""",Manual,WHO,2015,checked,,Whole Document,,
Marc Ho; World Health Organization,"331896 (https://dl.airtable.com/.attachments/609458e2998636987dbacf4c631691b3/25e4cd8f/331896),WHO_Cities_Urban_Settings_Final_28Apr.pdf (https://dl.airtable.com/.attachments/9d780d41dcfbc033cefc3bf73f5da7d5/e9d6760f/WHO_Cities_Urban_Settings_Final_28Apr.pdf)",Strengthening Preparedness for COVID-19 in Cities and Urban Settings ,"This document is to support local authorities, leaders and policy-makers in cities and other urban settlements in identifying effective approaches and implementing recommended actions that enhance the prevention, preparedness and readiness for COVID-19 in urban settings, to ensure a robust response and eventual recovery. It covers factors unique to cities and urban settings, considerations in urbam preparedness, key areas of focus and preparing for future emergencies. ","""IHR Coordination, Communication and Advocacy, and Reporting""","""2.1 Develop action plans for multisectoral/multidisciplinary coordination and communication mechanisms in a variety of settings
including during times of high risk, deliberate events and mass gathering events."",""2.2 Review existing national plans from relevant sectors and increase coordination and harmonization of resources and
activities within the health system as well as across relevant sectors.""",Guideline,World Health Organization,2020,checked,,Pages 5-7,,
"Dawn Mapatano, Centers for Disease Control and Prevention ",An_efficient_and_Practical_approach_to_Biosecurity_web1.pdf (https://dl.airtable.com/.attachments/e890d3b1f91da8b87f5f8b0c39f2adfc/788e43aa/An_efficient_and_Practical_approach_to_Biosecurity_web1.pdf),An Efficient and Practical Approach to Biosecurity ,"Whole-of-government biosafety and biosecurity system is in place for all sectors (including human, animal (domestic animals and wildlife) and environmental facilities).",Biosafety and Biosecurity,"""8.1 Identify and document human and animal health facilities that store/maintain dangerous pathogens and toxins in the
relevant sectors and health professionals responsible for them."",""8.1 Establish a mechanism for laboratory licensing in human and animal health sectors; ensure that biosafety and biosecurity
requirements are included in general licensing requirements."",""8.1 Develop pathogen control measures, including standards for containment, operational handling and failure reporting
systems."",8.1 Secure dangerous pathogens and toxins at minimum number of national level laboratories.",Example,Centre for Biosecurity and Biopreparedness,215,,,17-86 ,checked,
Lorcan Clarke (WHO),Barroy et al (25 March 2020) How to budget for COVID-19 response? A rapid scan of budgetary mechanisms in highly affected countries. World Health Organization.pdf (https://dl.airtable.com/.attachments/7b65945d2cc6f8110fd269952f5e7830/91bbda16/Barroyetal25March2020HowtobudgetforCOVID-19responseArapidscanofbudgetarymechanismsinhighlyaffectedcountries.WorldHealthOrganization.pdf),How to budget for COVID-19 response? A rapid scan of budgetary mechanisms in highly affected countries.,Summarises observed budgetary allocation actions across a sample of countries in response to the onset of the COVID-19 pandemic. (Published 25 March 2020),"""National Legislation, Policy, and Financing""","""1.3 Develop or revise the mechanism and structure to receive and rapidly distribute funds during emergencies. Conduct a
simulation exercise or after-action review to assess functionality of the new finance policy or procedures. Document
outcomes and make necessary changes to optimize procedure.""",Briefing Note,"Hélène Barroy, Ding Wang, Claudia Pescetto , and Joseph Kutzin (WHO)",2020,,,All,checked,
Lorcan Clarke (WHO),Rahim et al (26 August 2020) COVID-19 Funds in Response to the Pandemic. IMF and WHO.pdf (https://dl.airtable.com/.attachments/5ecd984b289481e497df006e5f87c78f/0638b946/Rahimetal26August2020COVID-19FundsinResponsetothePandemic.IMFandWHO.pdf), COVID-19 Funds in Response to the Pandemic. ,"Outlines summary information and key issues linked to the creation of dedicated COVID-19 extrabudgetary funds (EBFs), including examining the motivation for setting up such funds, describing a database of more than 40 funds that has been compiled by the World Health Organization (WHO), and provides guidance on how to improve the design and management of COVID-19 funds to make them efficient, transparent, and accountable.","""National Legislation, Policy, and Financing""","""1.3 Develop or revise the mechanism and structure to receive and rapidly distribute funds during emergencies. Conduct a
simulation exercise or after-action review to assess functionality of the new finance policy or procedures. Document
outcomes and make necessary changes to optimize procedure."",""1.2 Develop a tool to monitor that timely distribution and use of the budget are coordinated for activities and interventions to
implement IHR capacities.""",Briefing Note,"Fazeer Rahim, Richard Allen, Laura Gores (IMF) and Hélène Barroy, Joseph Kutzin (WHO)",2020,,,All,checked,
Lorcan Clarke (WHO),WHO (2017) A Strategic Framework for Emergency Preparedness.pdf (https://dl.airtable.com/.attachments/846e5f10ee1ecbcdb616d3b1b25a575e/1d9be553/WHO2017AStrategicFrameworkforEmergencyPreparedness.pdf),A Strategic Framework for Emergency Preparedness,"Provides guidance on emergency preparedness, including a brief note on managing financial and in-kind resources from local, national or international sources.","""National Legislation, Policy, and Financing""","""1.3 Develop or revise the mechanism and structure to receive and rapidly distribute funds during emergencies. Conduct a
simulation exercise or after-action review to assess functionality of the new finance policy or procedures. Document
outcomes and make necessary changes to optimize procedure."",""1.2 Develop a tool to monitor that timely distribution and use of the budget are coordinated for activities and interventions to
implement IHR capacities.""",Briefing Note,World Health Organization,2017,,,Section 7,checked,
Lorcan Clarke (WHO),"""World Bank (2018) One health - operational framework for strengthening human, animal, and environmental public health systems at their interface.pdf (https://dl.airtable.com/.attachments/6b8c780cd59cbfe4e384a31f590bbdf2/42a582db/WorldBank2018Onehealth-operationalframeworkforstrengtheninghumananimalandenvironmentalpublichealthsystemsattheirinterface.pdf)""","One health: Operational Framework for Strengthening Human, Animal, and Environmental Public Health Systems at their Interface.","Outlines the value of investing in One Health and offers information on the impacts of disease outbreaks, the value of actions, suggest opportunities of action, and outlines basic guidance for analysis.","""National Legislation, Policy, and Financing""","""1.3 Develop or revise the mechanism and structure to receive and rapidly distribute funds during emergencies. Conduct a
simulation exercise or after-action review to assess functionality of the new finance policy or procedures. Document
outcomes and make necessary changes to optimize procedure."",""1.2 Develop a tool to monitor that timely distribution and use of the budget are coordinated for activities and interventions to
implement IHR capacities.""",Briefing Note,World Bank,2018,,,Chapter 2 (pp.29-46),checked,
Lorcan Clarke (WHO),"""FEMA (2020) Disaster Financial Management Guide Guidance for State, Local, Tribal & Territorial Partners.pdf (https://dl.airtable.com/.attachments/305a9bc693721a7c2bd6773122167273/0f312f0a/FEMA2020DisasterFinancialManagementGuideGuidanceforStateLocalTribalTerritorialPartners.pdf)""","Disaster Financial Management Guide Guidance for State, Local, Tribal & Territorial Partners","** Note ** Guidance is specific to the USA, so may be inappropriate for Reference Library.

Provides guidance for jurisdictions (e.g., state, local, tribal and territorial governments) establish and implement sound disaster financial management practices.","""National Legislation, Policy, and Financing""","""1.3 Develop or revise the mechanism and structure to receive and rapidly distribute funds during emergencies. Conduct a
simulation exercise or after-action review to assess functionality of the new finance policy or procedures. Document
outcomes and make necessary changes to optimize procedure."",""1.2 Develop a tool to monitor that timely distribution and use of the budget are coordinated for activities and interventions to
implement IHR capacities.""",Guideline,FEMA - USA,2020,,,All,checked,
Lorcan Clarke (WHO),"""Ministry of Justice, British Columbia - Canada (2013)  Financial Management of Emergency Response Costs during Provincial Activations.pdf (https://dl.airtable.com/.attachments/e9b7f187ef697864c0e791ef24471fe7/0f699547/MinistryofJusticeBritishColumbia-Canada2013FinancialManagementofEmergencyResponseCostsduringProvincialActivations.pdf)""",Financial Management of Emergency Response Costs during Provincial Activations.,"**Note** Guidance is specific to British Columbia, Canada so may be inappropriate for Reference Library.

Provides an outline of the main financial management policies and procedures in effect, in British Columbia (Canada), when dealing with emergency response costs incurred during the activation of the provincial emergency management response structure.","""National Legislation, Policy, and Financing""","""1.3 Develop or revise the mechanism and structure to receive and rapidly distribute funds during emergencies. Conduct a
simulation exercise or after-action review to assess functionality of the new finance policy or procedures. Document
outcomes and make necessary changes to optimize procedure."",""1.2 Develop a tool to monitor that timely distribution and use of the budget are coordinated for activities and interventions to
implement IHR capacities.""",Guideline,"Ministry of Justice, British Columbia - Canada",2013,,,All,checked,
"Dawn Mapatano, CDC ",An_efficient_and_Practical_approach_to_Biosecurity_web1.pdf (https://dl.airtable.com/.attachments/4361b342b9de635b630d0f397f5fbd45/16a9cb99/An_efficient_and_Practical_approach_to_Biosecurity_web1.pdf),An Efficient and Practical Approach to Biosecurity,The aim of an Efficient and Practical Approach to Biosecurity is to draw upon the Danish experiences with Biosecurity to suggest an efficient and practical model that other countries can use as a blueprint for establishing or improving their own biosecurity systems. ,Biosafety and Biosecurity,"""8.1 Identify and document human and animal health facilities that store/maintain dangerous pathogens and toxins in the
relevant sectors and health professionals responsible for them."",""8.1 Conduct assessments of current biosafety and biosecurity practices, procedures and engineering controls at the national
level."",""8.1 Develop a biosafety and biosecurity national framework including guidelines and record-keeping obligations at all
laboratories working with hazardous agents."",""8.2 Include biosafety and biosecurity training courses in university curricula of pretraining education in both human and animal
health sectors.""",Example,Denmark's National Biosecurity Agency ,2015,,,"17-86, 87-220, All, 221-266 ",checked,
"Dawn Mapatano, CDC ",en.pdf (https://dl.airtable.com/.attachments/84cf3bd42ff8933bf92447c79e984e08/b1e0db10/en.pdf),"Danish Executive Order on Securing Specific Biological Substances, Delivery Systems and Related Materials","Executive Order on securing specific biological substances, delivery
systems and related materials",Biosafety and Biosecurity,"""8.1 Review and develop or revise the national legislation/regulations for biosafety and biosecurity by the human health sector
(or other appropriate authority)."",""8.1 Implement biosafety and biosecurity best practices in all national, intermediate and local laboratories."",""8.1 Establish an information security system for all sensitive documentation in facilities where dangerous pathogens and toxins
are stored.""",Guideline,"Ministry of Health and Prevention, Denmark",2009,,,All,checked,
"Zoumana Isaac TRAORE, World Health Organization",Basic laboratory procedures in clinical bacteriology  J. Vandepitte ... [‎et al.]‎ 2nd ed9241545453.pdf (https://dl.airtable.com/.attachments/10a354f264dc884fe0e9730b12a107de/97c3066f/BasiclaboratoryproceduresinclinicalbacteriologyJ.Vandepitte...etal.2nded9241545453.pdf),Basic laboratory procedures in clinical bacteriology,"The present publication brings together and updates the various guidelines
produced by WHO over the years on sampling of specimens for laboratory
investigation, identification of bacteria, and testing of antimicrobial resistance.
The information included is intended to lead to harmonization of microbiological
investigations and susceptibility testing, and to improve the quality of
laboratories at both central and intermediate levels. It concentrates on the procedures
to be followed, rather than the basic techniques of microscopy and
staining, which have been described in detail in another WHO publication.",National Laboratory System,7.1 Train relevant laboratory staff on techniques used for core testing and document quality control results.,Manual,World Health Organization,2003,checked,,all,,
World Health Organization,IHR LABORATORY CAPACITY REQUIREMENTS AND THEIR IMPLEMENTATION IN THE WHO AFRICAN REGION.pdf (https://dl.airtable.com/.attachments/3b96fa55d0e39c9f6dc86f911e733e42/9b11b289/IHRLABORATORYCAPACITYREQUIREMENTSANDTHEIRIMPLEMENTATIONINTHEWHOAFRICANREGION.pdf),LABORATORY CAPACITY REQUIREMENTS FOR INTERNATIONAL HEALTH REGULATIONS AND THEIR IMPLEMENTATION IN THE WHO AFRICAN REGION,"This document focuses on the laboratory component of IHR. It can be used in
identifying approaches to develop the laboratory capacity for implementation of
IHR in the WHO African Region in accordance with the specifications outlined in
Annex 1A of IHR. Since IHR does not provide clear guidance on the laboratory
component, this document will define specific elements for laboratory capacity
requirements to facilitate the monitoring and evaluation of the implementation of
IHR, and also will supplement existing WHO reference documents.",National Laboratory System,"3.2 Define laboratory standards and capacity requirements that laboratories must meet to participate in national surveillance.,""4.1 Expand laboratory-enhanced coordinated surveillance to all priority zoonotic diseases/pathogens at all levels (national,
intermediate and local levels) in all sectors."",4.1 Develop adequate laboratory capacity and standards within relevant sectors to detect zoonotic diseases.,""7.2 Review existing specimen referral and transportation networks for priority diseases, map existing laboratory capacity for
priority diseases, and establish referral networks for each pathogen.""",Guideline,World Health Organization (African Regional Office),2013,checked,,All,,
World Health Organization,2004-Laboratory Biosafety Manual 3rd Edition-2004.pdf (https://dl.airtable.com/.attachments/29f0d53ea1526760888a075ca6502d53/8d6343d6/2004-LaboratoryBiosafetyManual3rdEdition-2004.pdf),Laboratory biosafety manual (3rd edition),"The third edition of the WHO Laboratory biosafety manual is a helpful reference
and guide to nations that accept the challenge to develop and establish national codes of practice for securing microbiological assets, yet ensuring their availability for clinical, research and epidemiological purposes.",Biosafety and Biosecurity,"""8.1 Develop a biosafety and biosecurity national framework including guidelines and record-keeping obligations at all
laboratories working with hazardous agents."",""8.2 Train and oversight facilities that are housing or working with dangerous pathogens and toxins to comply with biosafety and
biosecurity rules and regulations."",""8.1 Implement biosafety and biosecurity best practices in all national, intermediate and local laboratories."",""8.1 Conduct assessments of current biosafety and biosecurity practices, procedures and engineering controls at the national
level.""",Manual,World Health Organization,2004,checked,,All,,
"Britney McMurren, World Health Organization ",WHO-2019-nCoV-clinical-2020.5-eng.pdf (https://dl.airtable.com/.attachments/7bac0fd24e23ca60fa61e01897e0fabf/0a58730a/WHO-2019-nCoV-clinical-2020.5-eng.pdf),Clinical Management of Covid-19: Interim Guidance,"This guidance document is intended for clinicians caring for COVID-19 patients during all phases of their disease (i.e. screening to discharge).  This update has been expanded to meet the needs of front-line clinicians and promotes a multi-disciplinary approach to care for patients with COVID-19, including those with mild, moderate, severe, and critical disease. The following sections are entirely new: COVID-19 care pathway, treatment of acute and chronic infections, management of neurological and mental manifestations, noncommunicable diseases, rehabilitation, palliative care, ethical principles, and reporting of death; while previous chapters have also been significantly expanded.",Antimicrobial Resistance,"""3.4 Develop/update and disseminate national stewardship and clinical/treatment guidelines that include the Essential
Medicines List AWaRe (Access, Watch, Reserve) categorization for antibiotics promoting appropriate use of antimicrobials.""",Guideline,World Health Organization,2020,checked,,"18, 26, 30, 33 ",,
"Britney McMurren, World Health Organization ",Tackling AMR in the Covid-19 Pandemic.pdf (https://dl.airtable.com/.attachments/bb043a7a22781b4d2285acdf9b7a09f7/8c508302/TacklingAMRintheCovid-19Pandemic.pdf),Tackling antimicrobial resistance in the COVID-19 pandemic,Tackling antimicrobial resistance in the COVID-19 pandemic,Antimicrobial Resistance,"""3.4 Undertake an assessment of stewardship policies and activities, including regulatory framework and supply chain
management of antimicrobials, using a multisectoral approach."",3.4 Implement stewardship practices at designated healthcare facilities.,""3.4 Develop/update and disseminate national stewardship and clinical/treatment guidelines that include the Essential
Medicines List AWaRe (Access, Watch, Reserve) categorization for antibiotics promoting appropriate use of antimicrobials."",""3.4 Develop and disseminate information, education and communication materials on drug resistance and drug use across
both human and animal sectors. These include the use of evidence generated from AMR and antimicrobial use surveillance
to inform antibiotic-use practices."",3.4 Expand antimicrobial stewardship activities to all healthcare facilities.",Briefing Note,"Haileyesus Getahun, Ingrid Smith, Kavita Trivedi, Sarah Paulin & Hanan H Balkhy",2020,,,Full document,checked,
"Kayode Fasominu, RTSL",1-Antigen-detection in the diagnosis of SARS-CoV-2 infection using rapid immunoassays-WHO-2019-nCoV-Antigen_Detection-2020_1-eng.pdf (https://dl.airtable.com/.attachments/4374d9a495b4f0bb9920f184e50b3f3b/87509784/1-Antigen-detectioninthediagnosisofSARS-CoV-2infectionusingrapidimmunoassays-WHO-2019-nCoV-Antigen_Detection-2020_1-eng.pdf),Antigen-detection in the diagnosis of SARS-CoV-2 infection using rapid immunoassays,This document offers advice on the potential role of antigen-detecting RDTs (Ag-RDT) in the diagnosis of COVID-19 and the need for careful test selection. The information on Ag-RDTs in this document updates guidance that was included in the Scientific Brief entitled WHO Advice on use of point of care immunodiagnostics test for COVID-19 published on 8 April 2020. Guidance on the use of Ag-RDTs will be regularly updated as new evidence becomes available.,National Laboratory System,7.1 Define 10 core tests based on the priority diseases list (link this with the surveillance benchmark).,Guideline,World Health Organization,2020,checked,,All,checked,
